"id","login","password_hash","account_type","first_name","last_name","display_name","email","activated","location_code","lang_key","created_by","last_modified_by","avatar_url"
1,"system","$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG","EMAIL","Beecow","Beecow","Beecow","system@localhost","true","VN","en","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
2,"anonymoususer","$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO","EMAIL","Anonymous","User","User","anonymous@localhost","true","VN","en","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
3,"admin","$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC","EMAIL","Administrator","Administrator","Administrator","admin@localhost","true","VN","en","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
4,"user","$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K","EMAIL","User","User","User","user@localhost","true","VN","en","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
5,"beecowuser","$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO","EMAIL","Beecow Global","Beecow Global","Beecow Global","beecow@localhost","true","VN","en","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
6,"beecowuser_mm","$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO","EMAIL","Beecow Myanmar","Beecow Myanmar","Beecow Myanmar","Beecow-mm@localhost","true","MM","my","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
7,"beecowuser_mm_my-zawgyi","$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO","EMAIL","Beecow Myanmar (Zawgyi)","Beecow Myanmar (Zawgyi)","Beecow Myanmar (Zawgyi)","beecowuser_mm_my-zawgyi@localhost","true","MM","my-zawgyi","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
8,"beecowuser_vn","$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO","EMAIL","Beecow Vietnam","Beecow Vietnam","Beecow Vietnam","beecow-vn@localhost","true","VN","vi","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
9,"beecowuser_cn","$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO","EMAIL","Beecow China","Beecow China","Beecow China","beecow-cn@localhost","true","CN","zh-cn","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
10,"beecowuser_tw","$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO","EMAIL","Beecow Taiwan","Beecow Taiwan","Beecow Taiwan","beecow-tw@localhost","true","TW","zh-tw","system","system","https://dm4fv4ltmsvz0.cloudfront.net/5002.jpg"
